Country/Region,Confirmed,Deaths,Recovered,Active
USA,4290259,148011,1325804,2816444
Brazil,2442375,87618,1846641,508116
India,1480073,33408,951166,495499
Russia,816680,13334,602249,201097
South Africa,452529,7067,274925,170537
Mexico,395489,44022,303810,47657
Peru,389717,18418,272547,98752
Chile,347923,9187,319954,18782
United Kingdom,301708,45844,1437,254427
Iran,293606,15912,255144,22550
Pakistan,274289,5842,241026,27421
Spain,272421,28432,150376,93613
Saudi Arabia,268934,2760,222936,43238
Colombia,257101,8777,131161,117163
Italy,246286,35112,198593,12581
Turkey,227019,5630,210469,10920
Bangladesh,226225,2965,125683,97577
France,220352,30212,81212,108928
Germany,207112,9125,190314,7673
Argentina,167416,3059,72575,91782
